Name,Price,Day,League
Elevated Sextant,32.73252,28,Scourge
Elevated Sextant,33,29,Scourge
Sacred Orb,10.8,1,Scourge
Sacred Orb,2,2,Scourge
Sacred Orb,2,3,Scourge
Sacred Orb,6,4,Scourge
Sacred Orb,6,5,Scourge
Sacred Orb,5.61056,6,Scourge
Sacred Orb,7,7,Scourge
Sacred Orb,10.95135,8,Scourge
Sacred Orb,10,9,Scourge
Sacred Orb,10,10,Scourge
Sacred Orb,10,11,Scourge
Sacred Orb,11,12,Scourge
Sacred Orb,18.7778,13,Scourge
Sacred Orb,17,14,Scourge
Sacred Orb,16,15,Scourge
Sacred Orb,15,16,Scourge
Sacred Orb,14.46675,17,Scourge
Sacred Orb,16.53976,18,Scourge
Sacred Orb,18,19,Scourge
Sacred Orb,19.4775,20,Scourge
Sacred Orb,25,21,Scourge
Sacred Orb,26.5558,22,Scourge
Sacred Orb,25.61569,23,Scourge
Sacred Orb,25.25026,24,Scourge
Sacred Orb,25,25,Scourge
Sacred Orb,23.14567,26,Scourge
Sacred Orb,24.90007,27,Scourge
Sacred Orb,26.25125,28,Scourge
Sacred Orb,32.06281,29,Scourge
Sacred Orb,32.857142857142854,30,Scourge
Blessing of Chayula,189,1,Scourge
Blessing of Chayula,167.10001,2,Scourge
Blessing of Chayula,118.5,3,Scourge
Blessing of Chayula,97.26786,4,Scourge
Blessing of Chayula,75.91855,5,Scourge
Blessing of Chayula,74,6,Scourge
Blessing of Chayula,53.55647,7,Scourge
Blessing of Chayula,57.17452,8,Scourge
Blessing of Chayula,46.14,9,Scourge
Blessing of Chayula,38,10,Scourge
Blessing of Chayula,29,11,Scourge
Blessing of Chayula,30.61748,12,Scourge
Blessing of Chayula,30,13,Scourge
Blessing of Chayula,30,14,Scourge
Blessing of Chayula,29,15,Scourge
Blessing of Chayula,29,16,Scourge
Blessing of Chayula,28.01011,17,Scourge
Blessing of Chayula,28,18,Scourge
Blessing of Chayula,27.99856,19,Scourge
Blessing of Chayula,26,20,Scourge
Blessing of Chayula,25,21,Scourge
Blessing of Chayula,25,22,Scourge
Blessing of Chayula,25,23,Scourge
Blessing of Chayula,26,24,Scourge
Blessing of Chayula,29.86791,25,Scourge
Blessing of Chayula,33.55412,26,Scourge
Blessing of Chayula,33,27,Scourge
Blessing of Chayula,30,28,Scourge
Blessing of Chayula,30,29,Scourge
Ancient Orb,2.98,1,Scourge
Ancient Orb,3,2,Scourge
Ancient Orb,3,3,Scourge
Ancient Orb,3,4,Scourge
Ancient Orb,3,5,Scourge
Ancient Orb,4,6,Scourge
Ancient Orb,4,7,Scourge
Ancient Orb,4,8,Scourge
Ancient Orb,4.98781,9,Scourge
Ancient Orb,5,10,Scourge
Ancient Orb,5,11,Scourge
Ancient Orb,8,12,Scourge
Ancient Orb,8.94,13,Scourge
Ancient Orb,8.67515,14,Scourge
Ancient Orb,9.97382,15,Scourge
Ancient Orb,11,16,Scourge
Ancient Orb,11.60537,17,Scourge
Ancient Orb,12,18,Scourge
Ancient Orb,12.88736,19,Scourge
Ancient Orb,13.8667,20,Scourge
Ancient Orb,14.40836,21,Scourge
Ancient Orb,16.93346,22,Scourge
Ancient Orb,18,23,Scourge
Ancient Orb,18.97223,24,Scourge
Ancient Orb,19.98766,25,Scourge
Ancient Orb,20,26,Scourge
Ancient Orb,21,27,Scourge
Ancient Orb,21,28,Scourge
Ancient Orb,22.38757,29,Scourge
Ancient Orb,22,30,Scourge
Tainted Mythic Orb,2.16364,1,Scourge
Tainted Mythic Orb,4,2,Scourge
Tainted Mythic Orb,9,3,Scourge
Tainted Mythic Orb,9,4,Scourge
Tainted Mythic Orb,10,5,Scourge
Tainted Mythic Orb,10,6,Scourge
Tainted Mythic Orb,7,7,Scourge
Tainted Mythic Orb,6,8,Scourge
Tainted Mythic Orb,5,9,Scourge
Tainted Mythic Orb,4,10,Scourge
Tainted Mythic Orb,4,11,Scourge
Tainted Mythic Orb,4,12,Scourge
Tainted Mythic Orb,5,13,Scourge
Tainted Mythic Orb,5,14,Scourge
Tainted Mythic Orb,6.04607,15,Scourge
Tainted Mythic Orb,6,16,Scourge
Tainted Mythic Orb,6.05585,17,Scourge
Tainted Mythic Orb,7.75,18,Scourge
Tainted Mythic Orb,9,19,Scourge
Tainted Mythic Orb,9.50028,20,Scourge
Tainted Mythic Orb,9.66719,21,Scourge
Tainted Mythic Orb,10.96259,22,Scourge
Tainted Mythic Orb,11.77811,23,Scourge
Tainted Mythic Orb,13.80002,24,Scourge
Tainted Mythic Orb,14,25,Scourge
Tainted Mythic Orb,14,26,Scourge
Tainted Mythic Orb,13.6317,27,Scourge
Tainted Mythic Orb,13.55506,28,Scourge
Tainted Mythic Orb,11.51435,29,Scourge
Tainted Mythic Orb,15,30,Scourge
Orb of Unmaking,5,1,Scourge
Orb of Unmaking,4.25,2,Scourge
Orb of Unmaking,5,3,Scourge
Orb of Unmaking,5,4,Scourge
Orb of Unmaking,5,5,Scourge
Orb of Unmaking,7,6,Scourge
Orb of Unmaking,7,7,Scourge
Orb of Unmaking,7,8,Scourge
Orb of Unmaking,7,9,Scourge
Orb of Unmaking,6.95839,10,Scourge
Orb of Unmaking,6.73708,11,Scourge
Orb of Unmaking,7.21145,12,Scourge
Orb of Unmaking,8.56276,13,Scourge
Orb of Unmaking,9.99834,14,Scourge
Orb of Unmaking,10,15,Scourge
Orb of Unmaking,10,16,Scourge
Orb of Unmaking,10,17,Scourge
Orb of Unmaking,10,18,Scourge
Orb of Unmaking,10,19,Scourge
Orb of Unmaking,10,20,Scourge
Orb of Unmaking,12,21,Scourge
Orb of Unmaking,12.46156,22,Scourge
Orb of Unmaking,13.61129,23,Scourge
Orb of Unmaking,14.82126,24,Scourge
Orb of Unmaking,14,25,Scourge
Orb of Unmaking,13.15812,26,Scourge
Orb of Unmaking,13.34224,27,Scourge
Orb of Unmaking,13.48835,28,Scourge
Orb of Unmaking,13.3,29,Scourge
Ritual Vessel,18.71986,1,Scourge
Ritual Vessel,5,2,Scourge
Ritual Vessel,5,3,Scourge
Ritual Vessel,5,4,Scourge
Ritual Vessel,5.55933,5,Scourge
Ritual Vessel,5,6,Scourge
Ritual Vessel,5,7,Scourge
Ritual Vessel,5,8,Scourge
Ritual Vessel,5.37509,9,Scourge
Ritual Vessel,6,10,Scourge
Ritual Vessel,7,11,Scourge
Ritual Vessel,8,12,Scourge
Ritual Vessel,8,13,Scourge
Ritual Vessel,9,14,Scourge
Ritual Vessel,8,15,Scourge
Ritual Vessel,8,16,Scourge
Ritual Vessel,8,17,Scourge
Ritual Vessel,9,18,Scourge
Ritual Vessel,9,19,Scourge
Ritual Vessel,9.75601,20,Scourge
Ritual Vessel,9.90025,21,Scourge
Ritual Vessel,10.4502,22,Scourge
Ritual Vessel,11,23,Scourge
Ritual Vessel,13.75155,24,Scourge
Ritual Vessel,16,25,Scourge
Ritual Vessel,14,26,Scourge
Ritual Vessel,12.78974,27,Scourge
Ritual Vessel,12,28,Scourge
Ritual Vessel,12,29,Scourge
Tainted Blessing,3,1,Scourge
Tainted Blessing,2,2,Scourge
Tainted Blessing,2,3,Scourge
Tainted Blessing,2.68579,4,Scourge
Tainted Blessing,2.10001,5,Scourge
Tainted Blessing,2.60038,6,Scourge
Tainted Blessing,3,7,Scourge
Tainted Blessing,2.0451,8,Scourge
Tainted Blessing,2.925,9,Scourge
Tainted Blessing,3,10,Scourge
Tainted Blessing,3,11,Scourge
Tainted Blessing,4.60013,12,Scourge
Tainted Blessing,4,13,Scourge
Tainted Blessing,4.90025,14,Scourge
Tainted Blessing,5,15,Scourge
Tainted Blessing,7.00109,16,Scourge
Tainted Blessing,7,17,Scourge
Tainted Blessing,6.64926,18,Scourge
Tainted Blessing,7,19,Scourge
Tainted Blessing,7,20,Scourge
Tainted Blessing,10,21,Scourge
Tainted Blessing,10,22,Scourge
Tainted Blessing,9,23,Scourge
Tainted Blessing,8.10003,24,Scourge
Tainted Blessing,9.10264,25,Scourge
Tainted Blessing,10,26,Scourge
Tainted Blessing,9.74345,27,Scourge
Tainted Blessing,10.41114,28,Scourge
Tainted Blessing,10,29,Scourge
Blessing of Esh,35.25,1,Scourge
Blessing of Esh,12,2,Scourge
Blessing of Esh,8,3,Scourge
Blessing of Esh,6,4,Scourge
Blessing of Esh,6,5,Scourge
Blessing of Esh,5,6,Scourge
Blessing of Esh,5,7,Scourge
Blessing of Esh,5,8,Scourge
Blessing of Esh,5,9,Scourge
Blessing of Esh,5,10,Scourge
Blessing of Esh,5,11,Scourge
Blessing of Esh,7,12,Scourge
Blessing of Esh,7,13,Scourge
Blessing of Esh,6.21021,14,Scourge
Blessing of Esh,7,15,Scourge
Blessing of Esh,7,16,Scourge
Blessing of Esh,7,17,Scourge
Blessing of Esh,10,18,Scourge
Blessing of Esh,10.39809,19,Scourge
Blessing of Esh,11.06433,20,Scourge
Blessing of Esh,11,21,Scourge
Blessing of Esh,11,22,Scourge
Blessing of Esh,10,23,Scourge
Blessing of Esh,10,24,Scourge
Blessing of Esh,11,25,Scourge
Blessing of Esh,11,26,Scourge
Blessing of Esh,10,27,Scourge
Blessing of Esh,11,28,Scourge
Blessing of Esh,12,29,Scourge
Blessing of Xoph,88,1,Scourge
Blessing of Xoph,49.63388,2,Scourge
Blessing of Xoph,17,3,Scourge
Blessing of Xoph,14,4,Scourge
Blessing of Xoph,10.12411,5,Scourge
